id,inc,complex,inc_clean
NCT03881774,patients with refractory/relapsed B cell leukemia/lymphoma whose diseases relapse after autologous CAR-T cells or the preparation for autologous CAR-T cells fails,0,patients with refractory/relapsed B cell leukemia/lymphoma whose diseases relapse after autologous CAR-T cells or the preparation for autologous CAR-T cells fails
NCT05123209,Estimated survival ≥ 12 weeks;,0,Estimated survival ≥ 12 weeks
NCT02842138,ineligible for allogeneic transplantation or relapsed after transplantation.,1,ineligible for allogeneic transplantation or relapsed after transplantation.
NCT04464200,Adequate pulmonary function as assessed by ≥92% oxygen saturation on room air by pulse oximetry.,0,Adequate pulmonary function as assessed by ≥92% oxygen saturation on room air by pulse oximetry.
NCT03380039,"Ages Eligible for Study: 18 Years to 70 Years (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years to 70 Years (Adult, Older Adult)"
NCT04827745,Female subjects of childbearing potential must have a negative pregnancy test,0,Female subjects of childbearing potential must have a negative pregnancy test
NCT05577091,Age: 18 years to 70 years (including cut-off values).,0,Age: 18 years to 70 years (including cut-off values).
NCT05281809,Subjects must consent to anonymous reporting of data to the CIBMTR (Center for International Blood and Marrow Transplant Research).,0,Subjects must consent to anonymous reporting of data to the CIBMTR (Center for International Blood and Marrow Transplant Research).
NCT04303247,"Subjects must meet the following criteria for inclusion in the study： 1) Male or female subjects between the ages of 18 and 75（including critical values）； 2) Subjects histologically confirmed as diffuse diffuse large B cell lymphoma (DLBCL), transformed follicular lymphoma (TFL), primary mediastinal B cell lymphoma (PMBCL) and mantle cell lymphoma (MCL) ：",1,"Subjects must meet the following criteria for inclusion in the study: 1) Male or female subjects between the ages of 18 and 75(including critical values); 2) Subjects histologically confirmed as diffuse diffuse large B cell lymphoma (DLBCL), transformed follicular lymphoma (TFL), primary mediastinal B cell lymphoma (PMBCL) and mantle cell lymphoma (MCL) :"
NCT02937103,"Cardiac function: Left ventricular ejection fraction greater than or equal to 40% by MUGA or cardiac MRI, or fractional shortening greater than or equal to 28% by ECHO or left ventricular ejection fraction greater than or equal to 50% by ECHO.",1,"Cardiac function: Left ventricular ejection fraction greater than or equal to 40% by MUGA or cardiac MRI, or fractional shortening greater than or equal to 28% by ECHO or left ventricular ejection fraction greater than or equal to 50% by ECHO."
NCT04008394,"Pathological and histological examination confirmed CD30+ lymphocyte malignancies, and patients currently have no effective treatment options, such as chemotherapy or recurrence after hematopoietic stem cell transplantation; or patients voluntarily choose Anti-CD30 CAR-T as rescue treatment.",1,"Pathological and histological examination confirmed CD30+ lymphocyte malignancies, and patients currently have no effective treatment options, such as chemotherapy or recurrence after hematopoietic stem cell transplantation; or patients voluntarily choose Anti-CD30 CAR-T as rescue treatment."
NCT03327285,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT05306080,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT03720496,At least one measurable lesion per revised IWG Response Criteria;,0,At least one measurable lesion per revised IWG Response Criteria
NCT04792489,No clinical suspicion of central nervous system (CNS) lymphoma (not applicable to CNS cohort),0,No clinical suspicion of central nervous system (CNS) lymphoma (not applicable to CNS cohort)
NCT05022849,Eastern Cooperative Oncology Group (ECOG) Performance Status grade of 0 or 1,0,Eastern Cooperative Oncology Group (ECOG) Performance Status grade of 0 or 1
NCT05442580,"Ages Eligible for Study: 18 Years and older (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years and older (Adult, Older Adult)"
NCT05381181,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT04085159,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT03019055,"Ages Eligible for Study: 18 Years to 70 Years (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years to 70 Years (Adult, Older Adult)"
NCT03030001,"7. Adequate venous access for apheresis, and no other contraindications for leukapheresis ; Peripheral venous access ；no contraindication of lymphocyte separation.",1,"Adequate venous access for apheresis, and no other contraindications for leukapheresis ; Peripheral venous access ;no contraindication of lymphocyte separation."
NCT04089215,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT05127135,"Ages Eligible for Study: 3 Years to 70 Years (Child, Adult, Older Adult)",0,"Ages Eligible for Study: 3 Years to 70 Years (Child, Adult, Older Adult)"
NCT02247609,Life expectancy ≥3 months.,0,Life expectancy ≥3 months.
NCT04640909,Anticipated possibility to collect blood samples at the baseline and at 6- and 12-month timepoints;,0,Anticipated possibility to collect blood samples at the baseline and at 6- and 12-month timepoints
NCT04812691,Women of childbearing potential must agree to use highly effective methods of contraception for 1 year after the last dose of JWCAR029;,0,Women of childbearing potential must agree to use highly effective methods of contraception for 1 year after the last dose of JWCAR029
NCT05463640,The expression of ADGRE2 in AML blast is positive ;,0,The expression of ADGRE2 in AML blast is positive 
NCT03208556,life expectancy > 3months.,0,life expectancy > 3months.
NCT03790891,Aged <70 years;,0,Aged <70 years
NCT02735291,"All patients with acute non T lymphocytic leukemia after conventional treatment is invalid or recurrence of refractory, and by flow cytometry or pathological immunohistochemical examination, confirm the leukemia cells express can intervene molecular targets;",1,"All patients with acute non T lymphocytic leukemia after conventional treatment is invalid or recurrence of refractory, and by flow cytometry or pathological immunohistochemical examination, confirm the leukemia cells express can intervene molecular targets"
NCT04796688,"Having a measurable or evaluable lesion:
 A. Patients with lymphoma require a single lesion≥15mm or 2 or more lesions≥10mm.
 B. Patients with leukemia require persistent positive or positive relapse of bone marrow MRD.",1,Having a measurable or evaluable lesion: A. Patients with lymphoma require a single lesion≥15mm or 2 or more lesions≥10mm. B. Patients with leukemia require persistent positive or positive relapse of bone marrow MRD.
NCT03434769,Subjects must have relapsed or refractory non-Hodgkin lymphoma treated with at least two lines of therapy. Disease must have either progressed after the last regimen or presented failure to achieve partial or complete remission with the last regimen.,1,Subjects must have relapsed or refractory non-Hodgkin lymphoma treated with at least two lines of therapy. Disease must have either progressed after the last regimen or presented failure to achieve partial or complete remission with the last regimen.
NCT03179007,"Gender unlimited, age from 18 years to 80 years.",1,"Gender unlimited, age from 18 years to 80 years."
NCT01087294,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04268706,"<p>Eligibility is determined prior to blood collection . Patients must satisfy the following criteria to be enrolled in the study:</p><ol><ol>
 <li>Signed Informed Consent Form</li>
 <li>Male or female patients who are 12 - 75 years of age</li>
 <li>Histologically confirmed classical Hodgkin Lymphoma</li>
 <li>
 <p>Relapsed or refractory cHL that has failed at least 3 prior lines of therapy, including:</p>
 <ul>
 <li>chemotherapy</li>
 <li>BV and/or</li>
 <li>PD-1 inhibitor Patients may have previously received an autologous and/or allogeneic stem cell transplant</li>
 </ul>
 </li>
 <li>CD30-positive tumor</li>
 <li>At least 1 measurable lesion according to The Lugano Classification</li>
 <li>
 <p>Laboratory parameters: Hematological, renal and hepatic functions, and coagulation parameters</p>
 <ul>
 <li>Hgb ≥ 8.0 g/dL</li>
 <li>Total bilirubin ≤ 1.5 × ULN</li>
 <li>AST and ALT ≤ 5 × the ULN</li>
 <li>CrCl &gt; 45 mL/min</li>
 <li>ANC &gt;1,000/µL</li>
 <li>Platelets &gt;75,000/µL</li>
 <li>PT or INR ≤ 1.5 × ULN; PTT or aPTT ≤ 1.5 × ULN</li>
 </ul>
 </li>
 <li>ECOG PS of 0 to 1 or equivalent [either Karnofsky PS (for patients ≥ 16 year of age) or Lansky PS (for patients &lt; 16 years of age)]</li>
 <li>Anticipated life expectancy &gt; 12 weeks</li>
 </ol></ol>",1,"<p>Eligibility is determined prior to blood collection . Patients must satisfy the following criteria to be enrolled in the study:</p><ol><ol> <li>Signed Informed Consent Form</li> <li>Male or female patients who are 12 - 75 years of age</li> <li>Histologically confirmed classical Hodgkin Lymphoma</li> <li> <p>Relapsed or refractory cHL that has failed at least 3 prior lines of therapy, including:</p> <ul> <li>chemotherapy</li> <li>BV and/or</li> <li>PD-1 inhibitor Patients may have previously received an autologous and/or allogeneic stem cell transplant</li> </ul> </li> <li>CD30-positive tumor</li> <li>At least 1 measurable lesion according to The Lugano Classification</li> <li> <p>Laboratory parameters: Hematological, renal and hepatic functions, and coagulation parameters</p> <ul> <li>Hgb ≥ 8.0 g/dL</li> <li>Total bilirubin ≤ 1.5 × ULN</li> <li>AST and ALT ≤ 5 × the ULN</li> <li>CrCl > 45 mL/min</li> <li>ANC >1,000/μL</li> <li>Platelets >75,000/μL</li> <li>PT or INR ≤ 1.5 × ULN; PTT or aPTT ≤ 1.5 × ULN</li> </ul> </li> <li>ECOG PS of 0 to 1 or equivalent [either Karnofsky PS (for patients ≥ 16 year of age) or Lansky PS (for patients < 16 years of age)]</li> <li>Anticipated life expectancy > 12 weeks</li> </ol></ol>"
NCT02893189,Confirmed diagnosis of CD19+ malignancy relapsing following allogeneic transplantation,0,Confirmed diagnosis of CD19+ malignancy relapsing following allogeneic transplantation
NCT05633615,STEP 3: CROSSOVER REGISTRATION (ARM 4 ONLY): Participants must be registered within 28 days of the date of progression,0,STEP 3: CROSSOVER REGISTRATION (ARM 4 ONLY): Participants must be registered within 28 days of the date of progression
NCT05370547,Eastern Cooperative Oncology Group (ECOG) physical status is 0-3;,0,Eastern Cooperative Oncology Group (ECOG) physical status is 0-3
NCT03758417,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT04270461,"Fail or unwilling to receive first-line treatment,",0,"Fail or unwilling to receive first-line treatment,"
NCT03380039,"Adequate venous access for apheresis and venous blood sampling, and no other contraindications for leukapheresis.",1,"Adequate venous access for apheresis and venous blood sampling, and no other contraindications for leukapheresis."
NCT05477927,"Voluntarily participate in the research, understand and sign the informed consent;",0,"Voluntarily participate in the research, understand and sign the informed consent"
NCT03019055,Agree to practice birth control during the study.,0,Agree to practice birth control during the study.
NCT03103971,"<p>INCLUSION CRITERIA FOR LYMPHODEPLETING CHEMOTHERAPY AND huJCAR014 TREATMENT</p><ul><ul>
 <li>Successful collection of T cells for huJCAR014 manufacturing</li>
 <li>Detectable disease by imaging (for example PET +/- CT, magnetic resonance imaging [MRI]) and/or pathology evaluation</li>
 <li>Karnofsky performance status &gt;= 60%</li>
 <li>Assessed by the investigator to have adequate bone marrow function to receive lymphodepleting conditioning chemotherapy</li>
 <li>Serum creatinine =&lt; 1.5 x age-adjusted upper limit of normal (ULN) or calculated creatinine clearance (Cockcroft and Gault) &gt; 30 mL/min/1.73 m^2</li>
 <li>Alanine aminotransferase (ALT) and aspartate aminotransferase (AST) =&lt; 5 x ULN and total bilirubin &lt; 2.0 mg/dL unless due to malignancy or Gilbert's syndrome in the opinion of the PI or designee</li>
 <li>Common Terminology Criteria for Adverse Events (CTCAE) grade =&lt; 1 dyspnea and oxygen saturation (SaO2) &gt;= 92% on room air</li>
 <li>Left ventricular ejection fraction (LVEF) &gt;= 40% as assessed by echocardiogram (ECHO) or multiple uptake gated acquisition (MUGA) scan performed within 1 month before starting lymphodepleting chemotherapy</li>
 <li>
 <p>Women of childbearing potential (defined as all women physiologically capable of becoming pregnant) must agree to both of the following:</p>
 <ul>
 <li>Use highly effective methods of contraception for at least 6 months after the last dose of huJCAR014, and</li>
 <li>Have a negative serum pregnancy test performed within 28 days before starting lymphodepleting chemotherapy</li>
 </ul>
 </li>
 <li>Males who have partners of childbearing potential must agree to use an effective barrier contraceptive method for at least 6 months after the last dose of huJCAR014</li>
 </ul></ul>",1,"<p>INCLUSION CRITERIA FOR LYMPHODEPLETING CHEMOTHERAPY AND huJCAR014 TREATMENT</p><ul><ul> <li>Successful collection of T cells for huJCAR014 manufacturing</li> <li>Detectable disease by imaging (for example PET +/- CT, magnetic resonance imaging [MRI]) and/or pathology evaluation</li> <li>Karnofsky performance status >= 60%</li> <li>Assessed by the investigator to have adequate bone marrow function to receive lymphodepleting conditioning chemotherapy</li> <li>Serum creatinine =< 1.5 x age-adjusted upper limit of normal (ULN) or calculated creatinine clearance (Cockcroft and Gault) > 30 mL/min/1.73 m^2</li> <li>Alanine aminotransferase (ALT) and aspartate aminotransferase (AST) =< 5 x ULN and total bilirubin < 2.0 mg/dL unless due to malignancy or Gilbert's syndrome in the opinion of the PI or designee</li> <li>Common Terminology Criteria for Adverse Events (CTCAE) grade =< 1 dyspnea and oxygen saturation (SaO2) >= 92% on room air</li> <li>Left ventricular ejection fraction (LVEF) >= 40% as assessed by echocardiogram (ECHO) or multiple uptake gated acquisition (MUGA) scan performed within 1 month before starting lymphodepleting chemotherapy</li> <li> <p>Women of childbearing potential (defined as all women physiologically capable of becoming pregnant) must agree to both of the following:</p> <ul> <li>Use highly effective methods of contraception for at least 6 months after the last dose of huJCAR014, and</li> <li>Have a negative serum pregnancy test performed within 28 days before starting lymphodepleting chemotherapy</li> </ul> </li> <li>Males who have partners of childbearing potential must agree to use an effective barrier contraceptive method for at least 6 months after the last dose of huJCAR014</li> </ul></ul>"
NCT05128786,"Capable of receiving treatment and follow-up, including treatment in the clinical center;",0,"Capable of receiving treatment and follow-up, including treatment in the clinical center"
NCT05105152,Subject and/or legally authorized representative has signed the Informed Consent Form for this study,0,Subject and/or legally authorized representative has signed the Informed Consent Form for this study
NCT03706326,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT04377932,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT01454596,"Ages Eligible for Study: 18 Years to 70 Years (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years to 70 Years (Adult, Older Adult)"
NCT05143112,9) No contraindications to peripheral blood apheresis,0,No contraindications to peripheral blood apheresis
NCT05438368,"For all patients enrolled in this study, themselves or their parents or legal guardians must sign an informed consent and assent.",0,"For all patients enrolled in this study, themselves or their parents or legal guardians must sign an informed consent and assent."
NCT05634785,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT05489991,Gender Based Eligibility: Yes,0,Gender Based Eligibility: Yes
NCT05020444,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT03029338,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
NCT05518253,"The function of important organs is basically normal:
 

 Hematopoietic function: neutrophils>1.0×109/L, platelets>75×109/L, hemoglobin>80g/L;
 Cardiac function: echocardiography showed cardiac ejection fraction ≥50%, and no obvious abnormality was found on electrocardiogram;
 Renal function: serum creatinine≤2.0×ULN;
 Liver function: ALT and AST ≤2.0×ULN (for patients with liver tumor infiltration, it can be relaxed to ≤3.0×ULN);
 Total bilirubin ≤2.0×ULN (Gilbert syndrome or combined liver tumor infiltration can be relaxed to ≤3.0×ULN);
 Oxygen saturation > 92% in non-oxygen state.",1,"The function of important organs is basically normal: Hematopoietic function: neutrophils>1.0×109/L, platelets>75×109/L, hemoglobin>80g/L; Cardiac function: echocardiography showed cardiac ejection fraction ≥50%, and no obvious abnormality was found on electrocardiogram; Renal function: serum creatinine≤2.0×ULN; Liver function: ALT and AST ≤2.0×ULN (for patients with liver tumor infiltration, it can be relaxed to ≤3.0×ULN); Total bilirubin ≤2.0×ULN (Gilbert syndrome or combined liver tumor infiltration can be relaxed to ≤3.0×ULN); Oxygen saturation > 92% in non-oxygen state."
NCT05639972,Accepts Healthy Volunteers: No,0,Accepts Healthy Volunteers: No
NCT03937544,"Ages Eligible for Study: 13 Years to 65 Years (Child, Adult, Older Adult)",0,"Ages Eligible for Study: 13 Years to 65 Years (Child, Adult, Older Adult)"
NCT04860817,Eastern cooperative oncology group (ECOG) performance status of 0 to 1,0,Eastern cooperative oncology group (ECOG) performance status of 0 to 1
NCT04186520,"<p>Phase 1: 3+3 COHORT ELEGIBILITY CRITERIA</p><ol><ol>
 <li>Diagnosis of B-cell NHL including Follicular Lymphoma, Marginal Zone Lymphoma (splenic, nodal, extranodal), Mantle Cell Lymphoma, and DLBCL with associated subtypes (aggressive B-cell lymphoma, high grade B-cell lymphoma, T-cell/histocyte rich B-cell lymphoma, primary mediastinal B-cell lymphoma, Epstein-Barr virus-positive (EBV+) diffuse large B-cell lymphoma, transformed lymphoma such as transformed follicular or marginal zone, and Richter's transformation).</li>
 <li>
 <p>Patients must have active, measurable disease as defined and meet one of the following criteria.</p>
 <ol>
 <li>Must have received Rituximab or another cluster of differentiation 20 (CD20) antibody and at minimum two different chemotherapy regimens appropriate for their disease and be ineligible to receive autologous transplant.</li>
 <li>Relapse post-autologous transplant</li>
 <li>Relapse post-allogeneic transplant</li>
 <li>Patients not previously treated with CAR-T cell therapy</li>
 </ol>
 </li>
 </ol></ol>",1,"<p>Phase 1: 3+3 COHORT ELEGIBILITY CRITERIA</p><ol><ol> <li>Diagnosis of B-cell NHL including Follicular Lymphoma, Marginal Zone Lymphoma (splenic, nodal, extranodal), Mantle Cell Lymphoma, and DLBCL with associated subtypes (aggressive B-cell lymphoma, high grade B-cell lymphoma, T-cell/histocyte rich B-cell lymphoma, primary mediastinal B-cell lymphoma, Epstein-Barr virus-positive (EBV+) diffuse large B-cell lymphoma, transformed lymphoma such as transformed follicular or marginal zone, and Richter's transformation).</li> <li> <p>Patients must have active, measurable disease as defined and meet one of the following criteria.</p> <ol> <li>Must have received Rituximab or another cluster of differentiation 20 (CD20) antibody and at minimum two different chemotherapy regimens appropriate for their disease and be ineligible to receive autologous transplant.</li> <li>Relapse post-autologous transplant</li> <li>Relapse post-allogeneic transplant</li> <li>Patients not previously treated with CAR-T cell therapy</li> </ol> </li> </ol></ol>"
NCT04727008,"Male or female, 18 to 75 years old.",1,"Male or female, 18 to 75 years old."
NCT03393936,Ongoing treatment using systemic steroid or steroid inhalants.,0,Ongoing treatment using systemic steroid or steroid inhalants.
NCT04093648,"Ages Eligible for Study: 1 Year and older (Child, Adult, Older Adult)",0,"Ages Eligible for Study: 1 Year and older (Child, Adult, Older Adult)"
NCT03879382,"Ages Eligible for Study: 18 Years and older (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years and older (Adult, Older Adult)"
NCT03585764,Failure of at least two prior chemotherapy regimens for advanced stage disease. Prior therapies against PD-1 or PDL-1 are permissible.,1,Failure of at least two prior chemotherapy regimens for advanced stage disease. Prior therapies against PD-1 or PDL-1 are permissible.
NCT02846584,"Subjects with the following CNS status are eligible only in the absence of neurologic symptoms suggestive of CNS leukemia, such as cranial nerve palsy: CNS 1, defined as absence of blasts in cerebral spinal fluid (CSF) on cytospin preparation, regardless of the number of WBCs; CNS 2, defined as presence of < 5/uL WBCs in CSF and cytospin positive for blasts, or > 5/uL WBCs but negative by Steinherz/Bleyer algorithm CNS3 with marrow disease who has failed salvage systemic and intensive IT chemotherapy (and therefore not eligible for radiation)",1,"Subjects with the following CNS status are eligible only in the absence of neurologic symptoms suggestive of CNS leukemia, such as cranial nerve palsy: CNS 1, defined as absence of blasts in cerebral spinal fluid (CSF) on cytospin preparation, regardless of the number of WBCs; CNS 2, defined as presence of < 5/uL WBCs in CSF and cytospin positive for blasts, or > 5/uL WBCs but negative by Steinherz/Bleyer algorithm CNS3 with marrow disease who has failed salvage systemic and intensive IT chemotherapy (and therefore not eligible for radiation)"
NCT04093648,"Ages Eligible for Study: 1 Year and older   (Child, Adult, Older Adult)",0,"Ages Eligible for Study: 1 Year and older (Child, Adult, Older Adult)"
NCT03380039,Patients aged between 18 ~ 70 with relapsed or refractory multiple myeloma.,1,Patients aged between 18 ~ 70 with relapsed or refractory multiple myeloma.
NCT04265963,"No other illness may conflict with the protocol (e.g. autoimmune diseases, immune deficiency and organ transplantation；",0,"No other illness may conflict with the protocol (e.g. autoimmune diseases, immune deficiency and organ transplantation"
NCT02976857,Subject's left ventricular ejection fraction (LVEF) is ≥ 50% and no evidence of pericardial effusion as determined by an ECHO,1,Subject's left ventricular ejection fraction (LVEF) is ≥ 50% and no evidence of pericardial effusion as determined by an ECHO
NCT02723942,Karnofsky Performance Status(KPS)>=60；Expected survival time>=12 weeks.,1,Karnofsky Performance Status(KPS)>=60;Expected survival time>=12 weeks.
NCT03154775,At least one measurable lesion per revised IWG Response Criteria (the longest diameter of the tumor ≥ 1.5 cm),0,At least one measurable lesion per revised IWG Response Criteria (the longest diameter of the tumor ≥ 1.5 cm)
NCT02186860,Aspartate transaminase-alanine transaminase ratio < 3x normal,0,Aspartate transaminase-alanine transaminase ratio < 3x normal
NCT04976218,Previous treatment with anti-PD-1/PD-L1 antibodies are allowed.,0,Previous treatment with anti-PD-1/PD-L1 antibodies are allowed.
NCT05627323,"In-range baseline laboratory values for WBC (>2000/dL [or ANC ≥1000/mm^3]), platelets (≥75000/mm^3), total bilirubin (≤1.5xULN), AST (≤2.5xULN), ALT (≤2.5xULN), serum creatinine (≤1.5xmg/dL), and oxygen saturation (≥95% on room air)",1,"In-range baseline laboratory values for WBC (>2000/dL [or ANC ≥1000/mm^3]), platelets (≥75000/mm^3), total bilirubin (≤1.5xULN), AST (≤2.5xULN), ALT (≤2.5xULN), serum creatinine (≤1.5xmg/dL), and oxygen saturation (≥95% on room air)"
NCT03706326,"Adequate bone marrow, liver and renal function as assessed by the following laboratory requirements: White blood cell count (WBC) ≥ 2500c/ml, Platelets ≥ 50×10^9/L, Hb ≥ 9.0g/dL, lymphocyte (LY) ≥ 0.7×10^9/L, LY% ≥ 15%, Alb ≥ 2.8g/dL, serum lipase and amylase < 1.5×upper limit of normal, serum creatinine ≤ 2.5mg/dL, aspartate aminotransferase (AST) and alanine aminotransferase (ALT) ≤ 5×upper limit of normal, serum total bilirubin ≤ 2.0mg/dL. These tests must be conducted within 7 days prior to registration.",1,"Adequate bone marrow, liver and renal function as assessed by the following laboratory requirements: White blood cell count (WBC) ≥ 2500c/ml, Platelets ≥ 50×10^9/L, Hb ≥ 9.0g/dL, lymphocyte (LY) ≥ 0.7×10^9/L, LY% ≥ 15%, Alb ≥ 2.8g/dL, serum lipase and amylase < 1.5×upper limit of normal, serum creatinine ≤ 2.5mg/dL, aspartate aminotransferase (AST) and alanine aminotransferase (ALT) ≤ 5×upper limit of normal, serum total bilirubin ≤ 2.0mg/dL. These tests must be conducted within 7 days prior to registration."
NCT05445765,The expected survival period is greater than 12 weeks;,0,The expected survival period is greater than 12 weeks
NCT03879382,"Ages Eligible for Study: 18 Years and older   (Adult, Older Adult)",0,"Ages Eligible for Study: 18 Years and older (Adult, Older Adult)"
NCT03232619,ALL patients not eligible for allogeneic SCT or relapse after allogeneic SCT.,0,ALL patients not eligible for allogeneic SCT or relapse after allogeneic SCT.
NCT03585764,Failure of at least two prior chemotherapy regimens for advanced stage disease. Prior therapies against PD-1 or PDL-1 are permissible.,0,Failure of at least two prior chemotherapy regimens for advanced stage disease. Prior therapies against PD-1 or PDL-1 are permissible.
NCT05451212,Sexes Eligible for Study: All,0,Sexes Eligible for Study: All
